STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2014,,94,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2015,,95,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2016,,76,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2017,,62,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2018,,73,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2019,,90,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2020,,67,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2021,,81,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2022,,68,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,A,"Agriculture, forestry and fishing",IT,Italy,2023,,76,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2014,,4,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2015,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2016,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2017,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2018,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2019,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2020,,3,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2021,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2022,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,B,Mining and quarrying,IT,Italy,2023,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2014,,83,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2015,,95,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2016,,77,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2017,,78,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2018,,71,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2019,,77,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2020,,111,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2021,,87,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2022,,81,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,C,Manufacturing,IT,Italy,2023,,66,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2014,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2015,,7,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2016,,1,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2017,,2,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2018,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2019,,1,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2020,,3,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2021,,3,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2022,,0,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,D,"Electricity, gas, steam and air conditioning supply",IT,Italy,2023,,1,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2014,,17,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2015,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2016,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2017,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2018,,16,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2019,,10,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2020,,11,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2021,,11,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2022,,8,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,E,"Water supply; sewerage, waste management and remediation activities",IT,Italy,2023,,13,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2014,,105,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2015,,133,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2016,,115,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2017,,89,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2018,,123,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2019,,92,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2020,,103,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2021,,133,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2022,,106,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,F,Construction,IT,Italy,2023,,141,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2014,,38,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2015,,40,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2016,,37,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2017,,43,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2018,,28,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2019,,26,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2020,,58,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2021,,50,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2022,,43,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,IT,Italy,2023,,44,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2014,,59,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2015,,66,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2016,,64,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2017,,58,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2018,,71,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2019,,57,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2020,,77,,b,break in time series,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2021,,89,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2022,,71,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,H,Transportation and storage,IT,Italy,2023,,56,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,I,Accommodation and food service activities,IT,Italy,2014,,22,,,,,
dataflow,ESTAT:HSW_N2_02(1.0),Fatal Accidents at work by NACE Rev. 2 activity,A,Annual,NR,Number,I,Accommodation and food service activities,IT,Italy,2015,,10,,,,,
