STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2014,,44.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2015,,45.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2016,,45.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2017,,49.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2018,,56.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2019,,53.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2020,,50.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2021,,52.4,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2022,,49.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2023,,50.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2021,,6.7,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,F,Females,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,BA,Bosnia and Herzegovina,2022,,6.4,,,,,
