STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2014,,202.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2015,,206.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2016,,208.4,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2017,,210.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2018,,219.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2019,,222.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2020,,218.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2021,,216.1,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2022,,207.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,H,Transportation and storage,TOTAL,Total,THS_PER,Thousand persons,AT,Austria,2023,,213.9,,,,,
