eh_id,structure,structure_name,time_frequency,age_id,sex_id,activity_id,isco08_deescription,unit_description,country_id,time_period,obs_value,observation_status,
0,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2014,44.2,,
1,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2015,45.8,,
2,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2016,45,,
3,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2017,49.1,,
4,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2018,56.8,,
5,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2019,53.6,,
6,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2020,50.7,,
7,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2021,52.4,break in time series,
8,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2022,49.5,,
9,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,AT,2023,50.3,,
10,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BA,2021,6.7,break in time series,
11,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BA,2022,6.4,,
12,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BA,2023,7.7,,
13,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2014,44.9,,
14,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2015,47.1,,
15,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2016,50.9,,
16,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2017,51.3,break in time series,
17,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2018,53.5,,
18,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2019,61.6,,
19,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2020,53.2,,
20,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2021,64.2,break in time series,
21,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2022,58.8,,
22,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BE,2023,57.3,,
23,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2014,37.1,,
24,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2015,38.3,,
25,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2016,41.5,,
26,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2017,41.6,,
27,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2018,37.3,,
28,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2019,36.6,break in time series,
29,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2020,37.5,,
30,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2021,36.8,break in time series,
31,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2022,38.9,,
32,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,BG,2023,38.5,,
33,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2014,54.4,,
34,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2015,53.8,,
35,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2016,54.3,,
36,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2017,52.9,,
37,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2018,56.6,,
38,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2019,53.3,,
39,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2020,55.3,,
40,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2021,49.9,break in time series,
41,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2022,53.6,,
42,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,CH,2023,56.1,,
