eit_id,structure,structure_name,time_frequency,age_id,sex_id,activity_id,isco08_deescription,unit_description,country_id,time_period,obs_value,observation_status
0,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2014,225,
1,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2015,228.9,
2,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2016,240.1,
3,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2017,227.8,
4,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2018,231.5,break in time series
5,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2019,233.4,
6,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2020,231.5,
7,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2021,235.5,break in time series
8,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2022,228.1,
9,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,A,Total,Thousand persons,IT,2023,218.4,
10,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2014,3.9,
11,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2015,2.9,
12,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2016,4.2,
13,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2017,6.2,
14,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2018,3.7,break in time series
15,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2019,2.9,
16,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2020,4.6,
17,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2021,4.9,break in time series
18,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2022,3.6,
19,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,B,Total,Thousand persons,IT,2023,2.7,low reliability
20,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2014,1093.4,
21,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2015,1090.3,
22,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2016,1082.9,
23,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2017,1084.9,
24,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2018,1113.1,break in time series
25,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2019,1122.8,
26,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2020,1102.1,
27,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2021,1089.7,break in time series
28,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2022,1170.2,
29,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,C,Total,Thousand persons,IT,2023,1179.5,
30,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2014,24.6,
31,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2015,24.4,
32,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2016,27.9,
33,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2017,28.4,
34,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2018,28.7,break in time series
35,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2019,29.4,
36,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2020,28.5,
37,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2021,32,break in time series
38,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2022,34.5,
39,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,D,Total,Thousand persons,IT,2023,39.3,
40,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2014,31.7,
41,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2015,34.3,
42,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2016,30.9,
43,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2017,28.6,
44,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2018,34,break in time series
45,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2019,38.5,
46,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2020,40.5,
47,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2021,43.8,break in time series
48,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2022,44.2,
49,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,E,Total,Thousand persons,IT,2023,42,
50,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2014,96,
51,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2015,94.6,
52,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2016,88.6,
53,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2017,91.7,
54,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2018,91.5,break in time series
55,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2019,88,
56,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2020,101.6,
57,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2021,104.8,break in time series
58,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2022,116.5,
59,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,F,Total,Thousand persons,IT,2023,113.7,
60,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2014,1338.5,
61,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2015,1324.2,
62,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2016,1314.6,
63,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2017,1341.6,
64,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2018,1329.4,break in time series
65,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2019,1353,
66,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2020,1324.9,
67,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2021,1295.6,break in time series
68,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2022,1308.7,
69,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,G,Total,Thousand persons,IT,2023,1355.9,
70,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2014,212.9,
71,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2015,213.7,
72,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2016,221.1,
73,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2017,223.2,
74,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2018,230.8,break in time series
75,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2019,233.6,
76,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2020,227,
77,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,H,Total,Thousand persons,IT,2021,226.1,break in time series
