wri_it_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_au,casualties_x1k,m_casualties,f_casualties,m_employment_au,f_employment_au,m_casualties_x1km,f_casualties_x1kf
0,dataflow,FAT,Annual,Number,A,UNK,IT,2014,94,,811.6,0.12,67.94,26.06,586.6,225,0.12,0.12
1,dataflow,FAT,Annual,Number,A,UNK,IT,2015,95,,842.7,0.11,69.2,25.8,613.83,228.87,0.11,0.11
2,dataflow,FAT,Annual,Number,A,UNK,IT,2016,76,,884,0.09,55.36,20.64,643.9,240.1,0.09,0.09
3,dataflow,FAT,Annual,Number,A,UNK,IT,2017,62,,870.9,0.07,45.78,16.22,643.1,227.8,0.07,0.07
4,dataflow,FAT,Annual,Number,A,UNK,IT,2018,73,,859.4,0.08,53.34,19.66,627.9,231.5,0.08,0.08
5,dataflow,FAT,Annual,Number,A,UNK,IT,2019,90,,897.3,0.1,66.59,23.41,663.9,233.4,0.1,0.1
6,dataflow,FAT,Annual,Number,A,UNK,IT,2020,67,break in time series,907.3,0.07,49.9,17.1,675.8,231.5,0.07,0.07
7,dataflow,FAT,Annual,Number,A,UNK,IT,2021,81,,913.5,0.09,60.12,20.88,678,235.5,0.09,0.09
8,dataflow,FAT,Annual,Number,A,UNK,IT,2022,68,,874.9,0.08,50.27,17.73,646.8,228.1,0.08,0.08
9,dataflow,FAT,Annual,Number,A,UNK,IT,2023,76,,847.6,0.09,56.42,19.58,629.2,218.4,0.09,0.09
10,dataflow,FAT,Annual,Number,B,UNK,IT,2014,4,,38.9,0.1,3.6,0.4,35,3.9,0.1,0.1
11,dataflow,FAT,Annual,Number,B,UNK,IT,2015,7,,34.1,0.21,6.4,0.6,31.2,2.9,0.21,0.21
12,dataflow,FAT,Annual,Number,B,UNK,IT,2016,7,,32.5,0.22,6.1,0.9,28.3,4.2,0.22,0.22
13,dataflow,FAT,Annual,Number,B,UNK,IT,2017,3,,32.2,0.09,2.42,0.58,26,6.2,0.09,0.09
14,dataflow,FAT,Annual,Number,B,UNK,IT,2018,2,,24.8,0.08,1.7,0.3,21.1,3.7,0.08,0.08
15,dataflow,FAT,Annual,Number,B,UNK,IT,2019,2,,24.6,0.08,1.76,0.24,21.7,2.9,0.08,0.08
16,dataflow,FAT,Annual,Number,B,UNK,IT,2020,3,break in time series,32.7,0.09,2.58,0.42,28.1,4.6,0.09,0.09
17,dataflow,FAT,Annual,Number,B,UNK,IT,2021,2,,31,0.06,1.68,0.32,26.1,4.9,0.06,0.06
18,dataflow,FAT,Annual,Number,B,UNK,IT,2022,0,,31.4,0,0,0,27.79,3.61,0,0
19,dataflow,FAT,Annual,Number,B,UNK,IT,2023,3,,30.1,0.1,2.73,0.27,27.4,2.7,0.1,0.1
20,dataflow,FAT,Annual,Number,C,UNK,IT,2014,83,,4134.2,0.02,61.05,21.95,3040.8,1093.4,0.02,0.02
21,dataflow,FAT,Annual,Number,C,UNK,IT,2015,95,,4121.8,0.02,69.87,25.13,3031.5,1090.3,0.02,0.02
