wri_tot_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_h,casualties_x1k,m_employment_h,f_employment_h,m_casualties,f_casualties,m_casualties_x1km,f_casualties_x1kf
0,dataflow,FAT,Annual,Number,H,UNK,BE,2014,8,break in time series,246.5,0.03,201.6,44.9,7.03,0.97,0.03,0.02
1,dataflow,FAT,Annual,Number,H,UNK,BE,2015,14,,248.9,0.06,201.8,47.1,12.3,1.7,0.06,0.04
2,dataflow,FAT,Annual,Number,H,UNK,BE,2016,14,,252.4,0.06,201.5,50.9,12.3,1.7,0.06,0.03
3,dataflow,FAT,Annual,Number,H,UNK,BE,2017,12,,259.5,0.05,208.2,51.3,10.54,1.46,0.05,0.03
4,dataflow,FAT,Annual,Number,H,UNK,BE,2018,22,,257.4,0.09,203.9,53.5,19.33,2.67,0.09,0.05
5,dataflow,FAT,Annual,Number,H,UNK,BE,2019,9,,276.2,0.03,214.6,61.6,7.91,1.09,0.04,0.02
6,dataflow,FAT,Annual,Number,H,UNK,BE,2020,11,break in time series,257.4,0.04,204.2,53.2,9.66,1.34,0.05,0.03
7,dataflow,FAT,Annual,Number,H,UNK,BE,2021,7,,273,0.03,208.8,64.2,6.15,0.85,0.03,0.01
8,dataflow,FAT,Annual,Number,H,UNK,BE,2022,11,,277.4,0.04,218.6,58.8,9.66,1.34,0.04,0.02
9,dataflow,FAT,Annual,Number,H,UNK,BE,2023,14,,272.3,0.05,215,57.3,12.3,1.7,0.06,0.03
10,dataflow,FAT,Annual,Number,H,UNK,CZ,2014,22,,295.9,0.07,213.03,82.87,16.52,5.48,0.08,0.07
11,dataflow,FAT,Annual,Number,H,UNK,CZ,2015,22,,297.6,0.07,220.5,77.1,16.52,5.48,0.07,0.07
12,dataflow,FAT,Annual,Number,H,UNK,CZ,2016,23,,314.2,0.07,233.1,81.1,17.27,5.73,0.07,0.07
13,dataflow,FAT,Annual,Number,H,UNK,CZ,2017,16,,328.4,0.05,241.3,87.1,12.02,3.98,0.05,0.05
14,dataflow,FAT,Annual,Number,H,UNK,CZ,2018,19,,328.2,0.06,240.5,87.7,14.27,4.73,0.06,0.05
15,dataflow,FAT,Annual,Number,H,UNK,CZ,2019,21,,352.5,0.06,262.5,90,15.77,5.23,0.06,0.06
16,dataflow,FAT,Annual,Number,H,UNK,CZ,2020,18,break in time series,326.4,0.06,242.9,83.5,13.52,4.48,0.06,0.05
17,dataflow,FAT,Annual,Number,H,UNK,CZ,2021,13,,311.9,0.04,232.2,79.7,9.76,3.24,0.04,0.04
18,dataflow,FAT,Annual,Number,H,UNK,CZ,2022,13,,320.6,0.04,242.3,78.3,9.76,3.24,0.04,0.04
19,dataflow,FAT,Annual,Number,H,UNK,CZ,2023,16,,313.5,0.05,238.2,75.3,12.02,3.98,0.05,0.05
20,dataflow,FAT,Annual,Number,H,UNK,DE,2014,85,,1924.4,0.04,1439.67,484.73,68.83,16.17,0.05,0.03
21,dataflow,FAT,Annual,Number,H,UNK,DE,2015,97,,1958.2,0.05,1471.1,487.1,78.55,18.45,0.05,0.04
22,dataflow,FAT,Annual,Number,H,UNK,DE,2016,79,,2017.3,0.04,1513.5,503.8,63.97,15.03,0.04,0.03
23,dataflow,FAT,Annual,Number,H,UNK,DE,2017,79,break in time series,2082.8,0.04,1560.3,522.5,63.97,15.03,0.04,0.03
24,dataflow,FAT,Annual,Number,H,UNK,DE,2018,66,,2116.5,0.03,1589.4,527.1,53.44,12.56,0.03,0.02
25,dataflow,FAT,Annual,Number,H,UNK,DE,2019,75,,2141.5,0.04,1614.1,527.4,60.73,14.27,0.04,0.03
26,dataflow,FAT,Annual,Number,H,UNK,DE,2020,49,break in time series,1912.9,0.03,1436,476.9,39.68,9.32,0.03,0.02
27,dataflow,FAT,Annual,Number,H,UNK,DE,2021,89,,1887,0.05,1408,479,72.07,16.93,0.05,0.04
28,dataflow,FAT,Annual,Number,H,UNK,DE,2022,70,,2024.5,0.03,1530.2,494.3,56.68,13.32,0.04,0.03
29,dataflow,FAT,Annual,Number,H,UNK,DE,2023,79,,2064.4,0.04,1552.6,511.8,63.97,15.03,0.04,0.03
30,dataflow,FAT,Annual,Number,H,UNK,ES,2014,63,,852.8,0.07,695.2,157.6,54.48,8.52,0.08,0.05
31,dataflow,FAT,Annual,Number,H,UNK,ES,2015,64,,870.5,0.07,708.2,162.3,55.35,8.65,0.08,0.05
32,dataflow,FAT,Annual,Number,H,UNK,ES,2016,70,,932.1,0.08,752.1,180,60.54,9.46,0.08,0.05
33,dataflow,FAT,Annual,Number,H,UNK,ES,2017,70,,936.6,0.07,759.18,177.42,60.54,9.46,0.08,0.05
34,dataflow,FAT,Annual,Number,H,UNK,ES,2018,70,,981.1,0.07,796.1,185,60.54,9.46,0.08,0.05
35,dataflow,FAT,Annual,Number,H,UNK,ES,2019,68,break in time series,1031.1,0.07,827.5,203.6,58.81,9.19,0.07,0.05
36,dataflow,FAT,Annual,Number,H,UNK,ES,2020,63,break in time series,992.1,0.06,788.7,203.4,54.48,8.52,0.07,0.04
37,dataflow,FAT,Annual,Number,H,UNK,ES,2021,71,,1028.3,0.07,815,213.3,61.4,9.6,0.08,0.05
38,dataflow,FAT,Annual,Number,H,UNK,ES,2022,68,,1113.3,0.06,884.6,228.7,58.81,9.19,0.07,0.04
39,dataflow,FAT,Annual,Number,H,UNK,ES,2023,75,,1177.2,0.06,915.6,261.6,64.86,10.14,0.07,0.04
40,dataflow,FAT,Annual,Number,H,UNK,FR,2014,102,break in time series,1427.7,0.07,1055.8,371.9,80.89,21.11,0.08,0.06
41,dataflow,FAT,Annual,Number,H,UNK,FR,2015,90,,1474.9,0.06,1082.8,392.1,71.37,18.63,0.07,0.05
42,dataflow,FAT,Annual,Number,H,UNK,FR,2016,92,,1459.6,0.06,1074.2,385.4,72.96,19.04,0.07,0.05
43,dataflow,FAT,Annual,Number,H,UNK,FR,2017,85,break in time series,1448.1,0.06,1071.37,376.73,67.41,17.59,0.06,0.05
44,dataflow,FAT,Annual,Number,H,UNK,FR,2018,97,,1421.1,0.07,1073.3,347.8,76.92,20.08,0.07,0.06
45,dataflow,FAT,Annual,Number,H,UNK,FR,2019,104,,1412.3,0.07,1050.53,361.77,82.48,21.52,0.08,0.06
46,dataflow,FAT,Annual,Number,H,UNK,FR,2020,86,break in time series,1385,0.06,1028.13,356.87,68.2,17.8,0.07,0.05
47,dataflow,FAT,Annual,Number,H,UNK,FR,2021,93,,1411.6,0.07,1047.1,364.5,73.75,19.25,0.07,0.05
48,dataflow,FAT,Annual,Number,H,UNK,FR,2022,120,break in time series,1443.9,0.08,1059.9,384,95.16,24.84,0.09,0.06
49,dataflow,FAT,Annual,Number,H,UNK,FR,2023,120,,1445.7,0.08,1063.8,381.9,95.16,24.84,0.09,0.07
50,dataflow,FAT,Annual,Number,H,UNK,HU,2014,13,,258.7,0.05,191.4,67.3,9.66,3.34,0.05,0.05
51,dataflow,FAT,Annual,Number,H,UNK,HU,2015,21,,266.8,0.08,198.2,68.6,15.61,5.39,0.08,0.08
52,dataflow,FAT,Annual,Number,H,UNK,HU,2016,13,,276.2,0.05,210,66.2,9.66,3.34,0.05,0.05
53,dataflow,FAT,Annual,Number,H,UNK,HU,2017,15,,294,0.05,225.2,68.8,11.15,3.85,0.05,0.06
54,dataflow,FAT,Annual,Number,H,UNK,HU,2018,11,,289.8,0.04,220.2,69.6,8.18,2.82,0.04,0.04
55,dataflow,FAT,Annual,Number,H,UNK,HU,2019,11,,301.9,0.04,233.1,68.8,8.18,2.82,0.04,0.04
56,dataflow,FAT,Annual,Number,H,UNK,HU,2020,10,break in time series,276.9,0.04,213.3,63.6,7.43,2.57,0.03,0.04
57,dataflow,FAT,Annual,Number,H,UNK,HU,2021,19,,284.7,0.07,214.7,70,14.12,4.88,0.07,0.07
58,dataflow,FAT,Annual,Number,H,UNK,HU,2022,9,,288.2,0.03,217.7,70.5,6.69,2.31,0.03,0.03
59,dataflow,FAT,Annual,Number,H,UNK,HU,2023,13,,293.8,0.04,223.1,70.7,9.66,3.34,0.04,0.05
60,dataflow,FAT,Annual,Number,H,UNK,IT,2014,59,,1039.1,0.06,826.22,212.88,49.27,9.73,0.06,0.05
61,dataflow,FAT,Annual,Number,H,UNK,IT,2015,66,,1033,0.06,819.32,213.68,55.12,10.88,0.07,0.05
62,dataflow,FAT,Annual,Number,H,UNK,IT,2016,64,,1084.9,0.06,863.8,221.1,53.45,10.55,0.06,0.05
63,dataflow,FAT,Annual,Number,H,UNK,IT,2017,58,,1109.5,0.05,886.32,223.18,48.44,9.56,0.05,0.04
64,dataflow,FAT,Annual,Number,H,UNK,IT,2018,71,,1117.7,0.06,886.92,230.78,59.29,11.71,0.07,0.05
65,dataflow,FAT,Annual,Number,H,UNK,IT,2019,57,,1131.8,0.05,898.2,233.6,47.6,9.4,0.05,0.04
