STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,wrkstat,Workstation,severity,Severity (days lost),nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2014,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2015,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2016,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2017,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2018,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2019,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2020,,0,,b,break in time series,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2021,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2022,,0,,,,,
dataflow,ESTAT:HSW_PH3_01(1.0),"Accidents at work by sex, age, severity, NACE Rev. 2 activity and workstation",A,Annual,WST_0,Not specified,D_GE4,4 days or over,H,Transportation and storage,F,Females,UNK,Unknown,NR,Number,BE,Belgium,2023,,0,,,,,
