STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,811.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,842.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,884.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,870.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,859.4,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,897.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,907.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,913.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,874.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,A,"Agriculture, forestry and fishing",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,847.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,38.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,34.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,B,Mining and quarrying,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,32.5,,,,,
